Student_ID,skills,qualification,experience_level,job_role
STU0001,"Python, SQL, TensorFlow, Machine Learning, Communication",Master's in Data Science,Senior,Data Scientist
STU0002,"HTML, CSS, JavaScript, React, Teamwork",Bachelor's in Computer Science,Mid,Frontend Developer
STU0003,"Java, Spring, SQL, REST APIs, Problem Solving",Bachelor's in Software Engineering,Senior,Backend Developer
STU0004,"Figma, Adobe XD, UI/UX Design, Creativity",Bachelor's in Design,Entry,Designer
STU0005,"Python, Django, JavaScript, React, Agile",Master's in Computer Science,Mid,Full Stack Python Developer
STU0006,"Financial Modeling, Excel, Communication, Risk Analysis",Master's in Finance,Senior,Finance
STU0007,"C++, Unreal Engine, Game Design, Teamwork",Bachelor's in Game Development,Mid,Game Developer
STU0008,"Kubernetes, Docker, AWS, CI/CD, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0009,"Java, Spring Boot, Hibernate, Microservices",Bachelor's in Software Engineering,Mid,Full Stack Java Developer
STU0010,"Solidity, Ethereum, JavaScript, Blockchain",Bachelor's in Computer Science,Entry,Blockchain Developer
STU0011,"Marketing Strategy, SEO, Content Creation, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0012,"Recruitment, HR Policies, Communication, Leadership",Master's in Human Resources,Senior,HR
STU0013,"C#, .NET, SQL, ASP.NET",Bachelor's in Computer Science,Mid,C# Developer
STU0014,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0015,"Swift, iOS Development, Objective-C, UI/UX",Bachelor's in Computer Science,Mid,Mobile Developer
STU0016,"Network Security, Penetration Testing, Firewalls",Bachelor's in Cybersecurity,Senior,Cybersecurity Engineer
STU0017,"Agile, Scrum, Project Management, Leadership",Master's in Business Administration,Senior,Software Project Manager
STU0018,"C++, Unity, Game Design, 3D Modeling",Bachelor's in Game Development,Entry,Video Game Designer
STU0019,"Python, Pandas, SQL, Data Visualization",Master's in Data Science,Mid,Data Analyst
STU0020,"Kubernetes, Helm, AWS, Terraform",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
STU0021,"HTML, CSS, JavaScript, Node.js, MongoDB",Bachelor's in Computer Science,Mid,Web Developer
STU0022,"Python, Machine Learning, Deep Learning, NLP",PhD in Artificial Intelligence,Senior,AIML
STU0023,"Java, Android Development, Kotlin, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
STU0024,"Python, Flask, JavaScript, PostgreSQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
STU0025,"Java, Spring, Angular, Microservices",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0026,"Adobe Illustrator, Photoshop, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
STU0027,"SQL, Tableau, Data Analysis, Statistics",Bachelor's in Statistics,Entry,Data Analyst
STU0028,"C#, Unity, Game Physics, 3D Modeling",Bachelor's in Game Development,Mid,Game Developer
STU0029,"AWS, Jenkins, Docker, Ansible",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0030,"PHP, WordPress, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0031,"Python, TensorFlow, Keras, Data Science",Master's in Data Science,Mid,   
STU0032,"Blockchain, Smart Contracts, Solidity, Web3",Bachelor's in Computer Science,Senior, 
STU0033,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid, 
STU0034, ,Bachelor's in Software Engineering,Senior, 
STU0035,"Digital Marketing, Google Analytics, SEO, PPC",Bachelor's in Marketing,Mid,Marketing
STU0036,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
STU0037,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
STU0038,"Swift, iOS, Xcode, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
STU0039,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0040,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
STU0041,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
STU0042,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
STU0043,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
STU0044,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
STU0045, ,Bachelor's in Computer Science,Mid,Full Stack Python Developer
STU0046,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0047,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
STU0048,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0049,"PHP, Symfony, MySQL, JavaScript",  ,Entry,PHP Developer
STU0050,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,  ,Blockchain Developer
STU0051,"React, TypeScript, HTML, CSS", ,Entry,Frontend Developer
STU0052,"Java, Spring, SQL, Microservices", ,Senior,Backend Developer
STU0053,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0054,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
STU0055,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
STU0056,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
STU0057,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0058,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
STU0059,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
STU0060,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
STU0061,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
STU0062,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
STU0063,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
STU0064,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
STU0065,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0066,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
STU0067,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
STU0068, ,Bachelor's in Game Development,Mid,Game Developer
STU0069,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0070, ,Bachelor's in Information Technology,Entry,PHP Developer
STU0071, ,Master's in Data Science,Mid,Data Scientist
STU0072, ,Bachelor's in Computer Science,Senior,Blockchain Developer
STU0073, ,Bachelor's in Computer Science,Mid,Frontend Developer
STU0074,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
STU0075,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0076,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
STU0077,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
STU0078,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
STU0079,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0080,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
STU0081,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
STU0082,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
STU0083,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
STU0084,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
STU0085,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
STU0086,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior, 
STU0087,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid, 
STU0088,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0089,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry, 
STU0090,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
STU0091,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
STU0092,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
STU0093,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0094,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
STU0095,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
STU0096,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
STU0097,"Penetration Testing, Firewalls, SIEM",  ,Senior,Cybersecurity Engineer
STU0098,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
STU0099,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
STU0100,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
STU0101,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
STU0102,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
STU0103,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
STU0104,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry, 
STU0105,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0106,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
STU0107,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
STU0108,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
STU0109,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0110,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0111,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
STU0112,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
STU0113,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
STU0114,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
STU0115,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0116,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
STU0117,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
STU0118,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
STU0119,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0120,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
STU0121,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
STU0122,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
STU0123,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
STU0124,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
STU0125,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
STU0126,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0127,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
STU0128,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0129,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0130,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
STU0131,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
STU0132,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
STU0133,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0134,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
STU0135,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
STU0136,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
STU0137,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0138,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
STU0139,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
STU0140,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
STU0141,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
STU0142,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
STU0143,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
STU0144,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
STU0145,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0146,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
STU0147,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
STU0148,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
STU0149,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0150,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0151,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
STU0152,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
STU0153,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
STU0154,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
STU0155,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0156,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
STU0157,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
STU0158,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
STU0159,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0160,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
STU0161,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
STU0162,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
STU0163,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
STU0164,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
STU0165,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
STU0166,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0167,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
STU0168,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0169,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0170,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
STU0171,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
STU0172,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
STU0173,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0174,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
STU0175,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
STU0176,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
STU0177,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0178,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
STU0179,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
STU0180,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
STU0181,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
STU0182,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
STU0183,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
STU0184,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
STU0185,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0186,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
STU0187,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
STU0188,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
STU0189,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0190,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0191,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
STU0192,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
STU0193,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
STU0194,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
STU0195,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0196,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
STU0197,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
STU0198,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
STU0199,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0200,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
STU0201,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
STU0202,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
STU0203,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
STU0204,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
STU0205,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
STU0206,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0207,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
STU0208,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0209,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0210,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
STU0211,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
STU0212,"Java, Spring, SQL, Microservices",Bachelor's in Software Engineering,Senior,Backend Developer
STU0213,"Marketing Campaigns, Social Media, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0214,"HR Policies, Recruitment, Training",Master's in Human Resources,Senior,HR
STU0215,"C#, ASP.NET, SQL Server, Azure",Bachelor's in Computer Science,Mid,C# Developer
STU0216,"Swift, iOS Development, UI/UX, Core Data",Bachelor's in Computer Science,Entry,Mobile Developer
STU0217,"Penetration Testing, Firewalls, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0218,"Scrum, Agile, Project Management",Master's in Business Administration,Mid,Software Project Manager
STU0219,"Python, Pandas, SQL, Tableau",Master's in Data Science,Entry,Data Analyst
STU0220,"Kubernetes, Helm, AWS, Docker",Bachelor's in Computer Science,Senior,Kubernetes Operations Engineer
STU0221,"HTML, CSS, JavaScript, Vue.js",Bachelor's in Information Technology,Mid,Web Developer
STU0222,"Python, TensorFlow, NLP, Deep Learning",PhD in Artificial Intelligence,Senior,AIML
STU0223,"Java, Kotlin, Android SDK, REST APIs",Bachelor's in Software Engineering,Mid,Mobile Developer
STU0224,"Python, Flask, JavaScript, SQL",Bachelor's in Computer Science,Entry,Full Stack Python Developer
STU0225,"Java, Spring, React, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0226,"Adobe XD, Figma, UI/UX, Prototyping",Bachelor's in Graphic Design,Mid,Designer
STU0227,"SQL, R, Data Visualization, Statistics",Bachelor's in Statistics,Entry,Data Analyst
STU0228,"C++, Unity, Game Design, VR",Bachelor's in Game Development,Mid,Game Developer
STU0229,"AWS, Jenkins, Docker, Terraform",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0230,"PHP, Laravel, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0231,"Python, TensorFlow, Keras, NLP",Master's in Data Science,Mid,Data Scientist
STU0232,"Solidity, Ethereum, Web3, Blockchain",Bachelor's in Computer Science,Senior,Blockchain Developer
STU0233,"React, JavaScript, HTML, CSS, Redux",Bachelor's in Computer Science,Mid,Frontend Developer
STU0234,"Java, Hibernate, SQL, REST APIs",Bachelor's in Software Engineering,Senior,Backend Developer
STU0235,"Digital Marketing, SEO, PPC, Analytics",Bachelor's in Marketing,Mid,Marketing
STU0236,"HR Management, Recruitment, Employee Relations",Master's in Human Resources,Senior,HR
STU0237,"C#, .NET Core, Azure, SQL Server",Bachelor's in Computer Science,Mid,C# Developer
STU0238,"Swift, iOS, Xcode, UI/UX",Bachelor's in Computer Science,Entry,Mobile Developer
STU0239,"Network Security, Ethical Hacking, SIEM",Master's in Cybersecurity,Senior,Cybersecurity Engineer
STU0240,"Agile, JIRA, Stakeholder Management",Master's in Business Administration,Mid,Software Project Manager
STU0241,"Python, R, SQL, Machine Learning",Master's in Data Science,Senior,Data Scientist
STU0242,"Figma, Sketch, UI/UX, Wireframing",Bachelor's in Design,Entry,Designer
STU0243,"Kubernetes, Docker, GCP, CI/CD",Bachelor's in Computer Science,Mid,Kubernetes Operations Engineer
STU0244,"JavaScript, Node.js, Express, MongoDB",Bachelor's in Information Technology,Entry,Web Developer
STU0245,"Python, Django, PostgreSQL, JavaScript",Bachelor's in Computer Science,Mid,Full Stack Python Developer
STU0246,"Java, Spring Boot, Angular, AWS",Master's in Software Engineering,Senior,Full Stack Java Developer
STU0247,"C++, Unreal Engine, VR Development",Bachelor's in Game Development,Mid,Game Developer
STU0248,"AWS, Terraform, Jenkins, Linux",Bachelor's in Computer Science,Senior,DevOps Engineer
STU0249,"PHP, Symfony, MySQL, JavaScript",Bachelor's in Information Technology,Entry,PHP Developer
STU0250,"Solidity, Web3, Ethereum, JavaScript",Bachelor's in Computer Science,Mid,Blockchain Developer
STU0251,"React, TypeScript, HTML, CSS",Bachelor's in Computer Science,Entry,Frontend Developer
